Gender,Education,Years_of_Professional_Experience,Region,Employment_Type,Area_of_Expertise,Annual_Salary,bonus
Male,Below Bachelor's,14,Trøndelag,"in-house, privat sektor",backend,875000.00,No
Male,Master's Degree,13,Trøndelag,"in-house, offentlig/kommunal sektor",backend,881000.00,No
Male,Master's Degree,12,Trøndelag,konsulent,backend,1100000.00,Yes
Male,Master's Degree,12,Trøndelag,konsulent,backend,1400000.00,No
Male,Below Bachelor's,11,Trøndelag,konsulent,backend,950000.00,Yes
Male,Below Bachelor's,10,Trøndelag,"in-house, privat sektor",backend,630000.00,Yes
Male,Master's Degree,9,Trøndelag,konsulent,backend,900000.00,No
Male,Master's Degree,8,Trøndelag,konsulent,backend,1000000.00,Yes
Male,Master's Degree,8,Trøndelag,konsulent,backend,1100000.00,No
Male,Master's Degree,7,Trøndelag,"in-house, privat sektor",backend,870000.00,No
Male,Higher than Master's,7,Trøndelag,konsulent,backend,1100000.00,Yes
Male,Below Bachelor's,7,Trøndelag,konsulent,backend,1200000.00,Yes
Male,No Education,5,Trøndelag,"in-house, privat sektor",backend,580000.00,No
Male,Below Bachelor's,4,Trøndelag,konsulent,backend,727000.00,Yes
Male,Master's Degree,4,Trøndelag,konsulent,backend,790000.00,No
Male,Master's Degree,4,Trøndelag,"in-house, privat sektor",backend,800000.00,No
Male,Master's Degree,4,Trøndelag,konsulent,backend,830000.00,Yes
Male,Master's Degree,4,Trøndelag,konsulent,backend,850000.00,No
Male,Master's Degree,4,Trøndelag,"in-house, privat sektor",backend,850000.00,Yes
Male,Master's Degree,3,Trøndelag,konsulent,backend,700000.00,No
Male,Below Bachelor's,3,Trøndelag,konsulent,backend,701829.00,Yes
Male,Below Bachelor's,3,Trøndelag,konsulent,backend,730000.00,Yes
Male,Below Bachelor's,3,Trøndelag,"in-house, privat sektor",backend,750000.00,No
Male,Below Bachelor's,2,Trøndelag,konsulent,backend,615000.00,No
Male,Master's Degree,1,Trøndelag,konsulent,backend,665000.00,Yes
Male,Bachelor's Degree,0,utlandet,"in-house, offentlig/kommunal sektor",backend,700000.00,No
Male,Below Bachelor's,28,Vestfold og Telemark,"in-house, privat sektor",backend,1100000.00,No
Male,No Education,25,Vestfold og Telemark,"in-house, privat sektor",backend,800000.00,No
Male,Higher than Master's,24,Vestfold og Telemark,"in-house, privat sektor",backend,970000.00,Yes
Male,Below Bachelor's,22,Vestfold og Telemark,"in-house, privat sektor",backend,1000000.00,Yes
Male,Master's Degree,21,Vestfold og Telemark,"in-house, privat sektor",backend,1700000.00,Yes
Male,Bachelor's Degree,20,Vestfold og Telemark,"in-house, privat sektor",backend,1200000.00,No
Male,Master's Degree,14,Vestfold og Telemark,"in-house, privat sektor",backend,894000.00,No
Male,Below Bachelor's,12,Vestfold og Telemark,"in-house, privat sektor",backend,1050000.00,No
Male,Below Bachelor's,10,Vestfold og Telemark,"in-house, privat sektor",backend,857000.00,No
Male,Bachelor's Degree,7,Vestfold og Telemark,konsulent,backend,865000.00,Yes
Male,Below Bachelor's,6,Vestfold og Telemark,"in-house, privat sektor",backend,630000.00,No
Male,Below Bachelor's,6,Vestfold og Telemark,konsulent,backend,740000.00,Yes
Male,Below Bachelor's,6,Vestfold og Telemark,"in-house, offentlig/kommunal sektor",backend,740000.00,No
Male,Below Bachelor's,6,Vestfold og Telemark,konsulent,backend,1150000.00,Yes
Male,Below Bachelor's,4,Vestfold og Telemark,"in-house, privat sektor",backend,750000.00,No
Male,Below Bachelor's,3,Vestfold og Telemark,"in-house, privat sektor",backend,600000.00,No
Male,Below Bachelor's,3,Vestfold og Telemark,"in-house, privat sektor",backend,650000.00,No
Male,Below Bachelor's,3,Vestfold og Telemark,konsulent,backend,695000.00,No
Male,Below Bachelor's,3,Vestfold og Telemark,"in-house, privat sektor",backend,704000.00,No
Male,Below Bachelor's,3,Vestfold og Telemark,"in-house, privat sektor",backend,797000.00,No
Male,Below Bachelor's,1,Vestfold og Telemark,"in-house, privat sektor",backend,560000.00,No
Male,Below Bachelor's,1,Vestfold og Telemark,"in-house, privat sektor",backend,575000.00,No
Male,Higher than Master's,0,Vestfold og Telemark,konsulent,backend,640000.00,Yes
Male,Master's Degree,40,Vestland,"in-house, offentlig/kommunal sektor",backend,715000.00,No
Male,Master's Degree,40,Vestland,konsulent,backend,1100000.00,No
Male,Below Bachelor's,23,Vestland,"in-house, privat sektor",backend,818193.00,No
Male,Below Bachelor's,22,Vestland,"in-house, privat sektor",backend,975000.00,No
Male,Higher than Master's,22,Vestland,konsulent,backend,1280000.00,Yes
Male,Bachelor's Degree,21,Vestland,"in-house, privat sektor",backend,1080000.00,No
Male,Higher than Master's,20,Vestland,konsulent,backend,1250000.00,Yes
Male,Higher than Master's,20,Vestland,konsulent,backend,1400000.00,No
Male,Master's Degree,18,Vestland,konsulent,backend,1148000.00,Yes
Male,Bachelor's Degree,18,Vestland,konsulent,backend,1150000.00,Yes
Female,Master's Degree,17,Vestland,"in-house, privat sektor",backend,1017500.00,No
Male,Higher than Master's,17,Vestland,"in-house, privat sektor",backend,850000.00,No
Male,Below Bachelor's,16,Vestland,"in-house, privat sektor",backend,780000.00,No
Male,Below Bachelor's,16,Vestland,konsulent,backend,880000.00,No
Male,Bachelor's Degree,16,Vestland,"in-house, privat sektor",backend,903000.00,No
Male,Below Bachelor's,16,Vestland,"in-house, privat sektor",backend,1078329.00,No
Male,Below Bachelor's,15,Vestland,"in-house, privat sektor",backend,958000.00,No
Male,Below Bachelor's,14,Vestland,"in-house, privat sektor",backend,830000.00,No
Male,Master's Degree,14,Vestland,"in-house, privat sektor",backend,1155000.00,No
Male,Below Bachelor's,14,Vestland,"in-house, privat sektor",backend,1200000.00,No
Male,Below Bachelor's,12,Vestland,"in-house, privat sektor",backend,970000.00,No
Male,Master's Degree,9,Vestland,"in-house, privat sektor",backend,930000.00,No
Male,Master's Degree,9,Vestland,"in-house, privat sektor",backend,1000000.00,Yes
Male,Below Bachelor's,9,Vestland,"in-house, privat sektor",backend,1100000.00,No
Male,Master's Degree,9,Vestland,konsulent,backend,1105000.00,Yes
Male,Below Bachelor's,8,Vestland,konsulent,backend,1200000.00,No
Male,Master's Degree,7,Vestland,"in-house, offentlig/kommunal sektor",backend,735200.00,No
Male,Master's Degree,7,Vestland,"in-house, privat sektor",backend,750000.00,Yes
Male,Master's Degree,7,Vestland,konsulent,backend,800000.00,Yes
Male,Bachelor's Degree,7,Vestland,konsulent,backend,800000.00,Yes
Male,Below Bachelor's,7,Vestland,konsulent,backend,1030000.00,No
Female,Higher than Master's,5,Vestland,konsulent,backend,670000.00,Yes
Female,Below Bachelor's,5,Vestland,"in-house, privat sektor",backend,785000.00,No
Male,Master's Degree,5,Vestland,konsulent,backend,750000.00,Yes
Male,Master's Degree,5,Vestland,konsulent,backend,1100000.00,No
Male,Below Bachelor's,4,Vestland,"in-house, privat sektor",backend,720000.00,No
Male,Below Bachelor's,4,Vestland,"in-house, privat sektor",backend,780000.00,No
Male,Master's Degree,4,Vestland,konsulent,backend,800000.00,No
Male,Master's Degree,4,Vestland,konsulent,backend,1140000.00,No
Female,Master's Degree,3,Vestland,"in-house, offentlig/kommunal sektor",backend,720000.00,No
Male,Below Bachelor's,3,Vestland,"in-house, privat sektor",backend,640000.00,No
Male,Master's Degree,3,Vestland,"in-house, privat sektor",backend,645000.00,No
Male,Below Bachelor's,3,Vestland,konsulent,backend,750000.00,Yes
Male,Master's Degree,3,Vestland,konsulent,backend,770000.00,Yes
Male,Below Bachelor's,3,Vestland,"in-house, privat sektor",backend,785000.00,Yes
Male,Master's Degree,3,Vestland,konsulent,backend,800000.00,Yes
Male,Higher than Master's,3,Vestland,konsulent,backend,1200000.00,No
Female,Master's Degree,2,Vestland,"in-house, offentlig/kommunal sektor",backend,700000.00,No
Female,Master's Degree,2,Vestland,"in-house, offentlig/kommunal sektor",backend,820000.00,No
Male,Higher than Master's,2,Vestland,"in-house, offentlig/kommunal sektor",backend,630000.00,No
Male,Below Bachelor's,2,Vestland,konsulent,backend,635000.00,No
Male,Below Bachelor's,2,Vestland,"in-house, privat sektor",backend,673000.00,No
Male,Master's Degree,2,Vestland,"in-house, privat sektor",backend,680000.00,No
Male,Below Bachelor's,2,Vestland,"in-house, privat sektor",backend,701000.00,Yes
Male,Master's Degree,2,Vestland,konsulent,backend,730000.00,No
Male,Below Bachelor's,1,Vestland,"in-house, privat sektor",backend,480000.00,Yes
Male,Below Bachelor's,1,Vestland,"in-house, privat sektor",backend,525000.00,No
Male,Below Bachelor's,1,Vestland,"in-house, privat sektor",backend,530000.00,No
Male,Below Bachelor's,1,Vestland,"in-house, privat sektor",backend,600000.00,No
Male,Below Bachelor's,1,Vestland,konsulent,backend,605000.00,No
Male,Below Bachelor's,1,Vestland,"in-house, privat sektor",backend,630000.00,No
Male,Master's Degree,1,Vestland,konsulent,backend,650000.00,Yes
Other,Below Bachelor's,0,Vestland,konsulent,backend,530000.00,No
Male,Below Bachelor's,0,Vestland,konsulent,backend,530000.00,No
Male,Below Bachelor's,0,Vestland,"in-house, privat sektor",backend,530000.00,No
Male,Higher than Master's,0,Vestland,"in-house, privat sektor",backend,530000.00,No
Male,Below Bachelor's,0,Vestland,konsulent,backend,600000.00,No
Male,Below Bachelor's,0,Vestland,"in-house, offentlig/kommunal sektor",backend,615000.00,No
Male,Master's Degree,0,Vestland,"in-house, privat sektor",backend,786000.00,No
Male,Higher than Master's,29,Viken,"in-house, privat sektor",backend,1170000.00,No
Male,Below Bachelor's,25,Viken,"in-house, privat sektor",backend,1000000.00,No
Male,Bachelor's Degree,25,Viken,konsulent,backend,1050000.00,No
Male,Below Bachelor's,24,Viken,"in-house, privat sektor",backend,900000.00,No
Male,Below Bachelor's,23,Viken,konsulent,backend,960000.00,No
Male,Below Bachelor's,22,Viken,"in-house, privat sektor",backend,1100000.00,No
Female,Bachelor's Degree,19,Viken,konsulent,backend,1100000.00,Yes
Male,Master's Degree,19,Viken,"in-house, privat sektor",backend,1450000.00,Yes
Female,Master's Degree,18,Viken,"in-house, privat sektor",backend,996000.00,Yes
Male,Master's Degree,18,Viken,"in-house, privat sektor",backend,1050000.00,Yes
Male,Master's Degree,18,Viken,konsulent,backend,1250000.00,No
Male,Below Bachelor's,16,Viken,konsulent,backend,1050000.00,Yes
Male,Higher than Master's,15,Viken,konsulent,backend,1170000.00,Yes
Female,Below Bachelor's,14,Viken,konsulent,backend,1080000.00,Yes
Male,Master's Degree,14,Viken,konsulent,backend,1300000.00,No
Male,Below Bachelor's,14,Viken,frilans / selvstendig næringsdrivende,backend,2250000.00,No
Female,Below Bachelor's,13,Viken,"in-house, privat sektor",backend,900000.00,Yes
Male,Bachelor's Degree,13,Viken,konsulent,backend,1000000.00,Yes
Male,Higher than Master's,12,Viken,"in-house, privat sektor",backend,987000.00,No
Male,Master's Degree,11,Viken,konsulent,backend,1024000.00,Yes
Female,Master's Degree,10,Viken,"in-house, privat sektor",backend,1040000.00,Yes
Male,Below Bachelor's,10,Viken,"in-house, offentlig/kommunal sektor",backend,710000.00,No
Male,Master's Degree,10,Viken,konsulent,backend,800000.00,No
Male,Below Bachelor's,10,Viken,konsulent,backend,1000000.00,Yes
Male,Master's Degree,8,Viken,"in-house, offentlig/kommunal sektor",backend,710000.00,No
Male,Master's Degree,8,Viken,konsulent,backend,895000.00,Yes
Male,Master's Degree,7,Viken,konsulent,backend,727000.00,No
Male,Below Bachelor's,7,Viken,"in-house, privat sektor",backend,1087000.00,Yes
Male,Master's Degree,6,Viken,konsulent,backend,890000.00,No
Male,Below Bachelor's,6,Viken,konsulent,backend,900000.00,Yes
Male,Below Bachelor's,6,Viken,"in-house, privat sektor",backend,1116600.00,No
Male,Bachelor's Degree,5,Viken,"in-house, privat sektor",backend,640000.00,No
Male,Below Bachelor's,5,Viken,konsulent,backend,760000.00,No
Male,Below Bachelor's,4,Viken,"in-house, privat sektor",backend,645000.00,Yes
Male,Bachelor's Degree,3,Viken,"in-house, privat sektor",backend,600000.00,No
Male,Below Bachelor's,2,Viken,"in-house, privat sektor",backend,605000.00,No
Male,Below Bachelor's,1,Viken,"in-house, privat sektor",backend,600000.00,No
Male,Below Bachelor's,1,Viken,"in-house, privat sektor",backend,600000.00,No
Male,No Education,1,Viken,"in-house, privat sektor",backend,600000.00,No
Male,Master's Degree,1,Viken,"in-house, privat sektor",backend,654400.00,Yes
Male,Below Bachelor's,0,Viken,konsulent,backend,530000.00,No
Male,Higher than Master's,6,Agder,"in-house, privat sektor",data science,900000.00,No
Male,Master's Degree,3,Agder,"in-house, privat sektor",data science,830000.00,Yes
Male,Below Bachelor's,1,Agder,"in-house, offentlig/kommunal sektor",data science,600000.00,No
Male,Higher than Master's,7,Nordland,"in-house, privat sektor",data science,860000.00,No
Male,Master's Degree,17,Oslo,konsulent,data science,1260000.00,No
Male,Below Bachelor's,11,Oslo,konsulent,data science,800000.00,No
Male,Master's Degree,11,Oslo,"in-house, privat sektor",data science,1350000.00,Yes
Male,Master's Degree,10,Oslo,konsulent,data science,1000000.00,Yes
Male,Higher than Master's,10,Oslo,konsulent,data science,1090000.00,No
Male,Higher than Master's,6,Oslo,"in-house, privat sektor",data science,1030000.00,Yes
Male,Higher than Master's,6,Oslo,frilans / selvstendig næringsdrivende,data science,1300000.00,No
Male,Master's Degree,5,Oslo,"in-house, offentlig/kommunal sektor",data science,750000.00,No
Male,Master's Degree,5,Oslo,"in-house, privat sektor",data science,930000.00,Yes
Male,Higher than Master's,5,Oslo,"in-house, privat sektor",data science,950000.00,No
Male,Higher than Master's,5,Oslo,konsulent,data science,950000.00,Yes
Male,Bachelor's Degree,5,Oslo,konsulent,data science,1150000.00,Yes
Female,Below Bachelor's,4,Oslo,konsulent,data science,530000.00,No
Male,Master's Degree,4,Oslo,konsulent,data science,790000.00,No
Male,Master's Degree,4,Oslo,konsulent,data science,850000.00,Yes
Male,Master's Degree,4,Oslo,"in-house, privat sektor",data science,900000.00,No
Female,Master's Degree,3,Oslo,konsulent,data science,780000.00,Yes
Female,Higher than Master's,3,Oslo,"in-house, offentlig/kommunal sektor",data science,780000.00,No
Male,Below Bachelor's,3,Oslo,"in-house, offentlig/kommunal sektor",data science,721000.00,No
Male,Master's Degree,3,Oslo,konsulent,data science,770000.00,No
Male,Master's Degree,3,Oslo,"in-house, privat sektor",data science,780000.00,No
Male,Master's Degree,3,Oslo,konsulent,data science,823000.00,No
Male,Master's Degree,3,Oslo,"in-house, offentlig/kommunal sektor",data science,825000.00,No
Male,Master's Degree,3,Oslo,konsulent,data science,1000000.00,Yes
Male,Master's Degree,2,Oslo,konsulent,data science,620000.00,No
Male,Master's Degree,2,Oslo,konsulent,data science,750000.00,Yes
Female,Master's Degree,1,Oslo,"in-house, privat sektor",data science,600000.00,No
Female,Master's Degree,1,Oslo,konsulent,data science,675000.00,No
Male,Master's Degree,1,Oslo,konsulent,data science,620000.00,Yes
Male,Master's Degree,1,Oslo,konsulent,data science,680000.00,Yes
Male,Master's Degree,1,Oslo,konsulent,data science,700000.00,Yes
Male,Below Bachelor's,1,Oslo,"in-house, privat sektor",data science,715000.00,Yes
Female,Master's Degree,0,Oslo,konsulent,data science,600000.00,Yes
Male,Below Bachelor's,0,Oslo,"in-house, privat sektor",data science,560000.00,No
Male,Master's Degree,0,Oslo,"in-house, privat sektor",data science,600000.00,No
Male,Master's Degree,0,Oslo,"in-house, privat sektor",data science,704400.00,No
Male,Master's Degree,0,Oslo,"in-house, privat sektor",data science,800000.00,Yes
Male,Master's Degree,7,Rogaland,konsulent,data science,1550000.00,Yes
Male,Higher than Master's,5,Rogaland,konsulent,data science,935000.00,Yes
Male,Higher than Master's,16,Trøndelag,"in-house, privat sektor",data science,1046000.00,No
Male,Higher than Master's,5,Trøndelag,konsulent,data science,920000.00,No
Male,Master's Degree,2,Trøndelag,"in-house, privat sektor",data science,930000.00,No
Male,Master's Degree,0,Trøndelag,konsulent,data science,690000.00,No
Male,Below Bachelor's,24,Vestland,"in-house, privat sektor",data science,850000.00,No
Male,Master's Degree,5,Vestland,"in-house, offentlig/kommunal sektor",data science,660000.00,No
Male,Master's Degree,5,Vestland,"in-house, privat sektor",data science,775000.00,No
Male,Master's Degree,2,Vestland,"in-house, offentlig/kommunal sektor",data science,800000.00,No
Male,Master's Degree,0,Vestland,konsulent,data science,640000.00,Yes
Male,Below Bachelor's,18,Viken,"in-house, privat sektor",data science,800000.00,No
Male,Master's Degree,14,Viken,"in-house, privat sektor",data science,1280000.00,No
Male,Higher than Master's,36,Agder,"in-house, offentlig/kommunal sektor",databaser,850000.00,No
Male,No Education,5,Innlandet,"in-house, offentlig/kommunal sektor",databaser,875000.00,No
Male,Below Bachelor's,4,Innlandet,"in-house, privat sektor",databaser,720000.00,No
Female,Below Bachelor's,15,Oslo,konsulent,databaser,1200000.00,Yes
Male,Master's Degree,12,Oslo,konsulent,databaser,900000.00,No
Female,Below Bachelor's,10,Oslo,"in-house, offentlig/kommunal sektor",databaser,930000.00,No
Male,Below Bachelor's,10,Oslo,"in-house, privat sektor",databaser,915000.00,No
Male,Master's Degree,10,Oslo,konsulent,databaser,1100000.00,Yes
Female,Master's Degree,6,Oslo,"in-house, privat sektor",databaser,900000.00,No
Female,Bachelor's Degree,6,Oslo,konsulent,databaser,1000000.00,Yes
Female,Higher than Master's,5,Oslo,"in-house, privat sektor",databaser,800000.00,Yes
Female,Master's Degree,5,Oslo,konsulent,databaser,905000.00,No
Female,Below Bachelor's,5,Oslo,konsulent,databaser,1000000.00,No
Male,Master's Degree,4,Oslo,konsulent,databaser,850000.00,Yes
Male,Below Bachelor's,4,Oslo,konsulent,databaser,1300000.00,Yes
Male,Below Bachelor's,3,Oslo,"in-house, privat sektor",databaser,750000.00,No
Female,Below Bachelor's,2,Oslo,konsulent,databaser,595000.00,No
Male,Master's Degree,2,Oslo,konsulent,databaser,568000.00,Yes
Male,Master's Degree,2,Oslo,konsulent,databaser,700000.00,No
Female,Below Bachelor's,1,Oslo,konsulent,databaser,750000.00,Yes
Male,Master's Degree,1,Oslo,"in-house, offentlig/kommunal sektor",databaser,600000.00,No
Male,Master's Degree,1,Oslo,konsulent,databaser,610000.00,No
Male,Master's Degree,1,Oslo,"in-house, privat sektor",databaser,620000.00,Yes
Male,Master's Degree,5,Rogaland,"in-house, offentlig/kommunal sektor",databaser,980000.00,No
Female,Below Bachelor's,3,Rogaland,konsulent,databaser,710000.00,Yes
Male,Master's Degree,2,Rogaland,konsulent,databaser,630000.00,No
Male,Master's Degree,2,Rogaland,konsulent,databaser,800000.00,Yes
Male,Below Bachelor's,2,Trøndelag,konsulent,databaser,700000.00,Yes
Male,Below Bachelor's,1,Vestfold og Telemark,konsulent,databaser,630000.00,No
Male,Below Bachelor's,15,Vestland,"in-house, privat sektor",databaser,950000.00,Yes
Male,Below Bachelor's,6,Vestland,"in-house, privat sektor",databaser,600000.00,No
Female,Higher than Master's,5,Vestland,"in-house, privat sektor",databaser,840000.00,Yes
Female,Higher than Master's,2,Vestland,"in-house, privat sektor",databaser,650000.00,No
Male,Below Bachelor's,1,Vestland,"in-house, privat sektor",databaser,800000.00,No
Male,Master's Degree,10,Viken,"in-house, privat sektor",databaser,875000.00,No
Female,Bachelor's Degree,2,Viken,"in-house, privat sektor",databaser,750000.00,Yes
Male,Master's Degree,16,Agder,"in-house, offentlig/kommunal sektor",devops / drift,820000.00,No
Male,Bachelor's Degree,13,Agder,"in-house, offentlig/kommunal sektor",devops / drift,560000.00,No
Male,Below Bachelor's,7,Agder,"in-house, offentlig/kommunal sektor",devops / drift,620000.00,No
Male,Below Bachelor's,7,Agder,konsulent,devops / drift,760000.00,Yes
Male,Below Bachelor's,5,Agder,"in-house, offentlig/kommunal sektor",devops / drift,850000.00,No
Male,No Education,3,Agder,"in-house, privat sektor",devops / drift,680000.00,Yes
Male,Below Bachelor's,20,Innlandet,"in-house, offentlig/kommunal sektor",devops / drift,934000.00,No
Female,Below Bachelor's,3,Innlandet,"in-house, offentlig/kommunal sektor",devops / drift,480000.00,No
Male,Below Bachelor's,2,Innlandet,konsulent,devops / drift,560000.00,Yes
Male,Below Bachelor's,8,Møre og Romsdal,"in-house, privat sektor",devops / drift,700000.00,No
Male,Below Bachelor's,17,Nordland,konsulent,devops / drift,925000.00,Yes
Male,Below Bachelor's,9,Nordland,"in-house, offentlig/kommunal sektor",devops / drift,830000.00,Yes
Male,Below Bachelor's,40,Oslo,"in-house, offentlig/kommunal sektor",devops / drift,900000.00,No
Male,Bachelor's Degree,30,Oslo,"in-house, privat sektor",devops / drift,1100000.00,No
Male,No Education,30,Oslo,konsulent,devops / drift,1400000.00,Yes
Male,Bachelor's Degree,27,Oslo,"in-house, offentlig/kommunal sektor",devops / drift,930000.00,No
Male,Below Bachelor's,26,Oslo,"in-house, privat sektor",devops / drift,1600000.00,Yes
Male,Higher than Master's,25,Oslo,konsulent,devops / drift,790000.00,Yes
Male,Below Bachelor's,23,Oslo,"in-house, privat sektor",devops / drift,1100000.00,No
Male,Bachelor's Degree,23,Oslo,konsulent,devops / drift,1200000.00,Yes
Male,Master's Degree,20,Oslo,"in-house, privat sektor",devops / drift,1150000.00,Yes
Male,Master's Degree,20,Oslo,frilans / selvstendig næringsdrivende,devops / drift,2200000.00,No
Male,Below Bachelor's,19,Oslo,konsulent,devops / drift,1150000.00,Yes
Male,Master's Degree,18,Oslo,"in-house, offentlig/kommunal sektor",devops / drift,966000.00,No
Male,Below Bachelor's,18,Oslo,konsulent,devops / drift,1000000.00,Yes
Male,Higher than Master's,18,Oslo,"in-house, privat sektor",devops / drift,1200000.00,No
Male,Below Bachelor's,18,Oslo,konsulent,devops / drift,1254100.00,Yes
Male,No Education,17,Oslo,konsulent,devops / drift,1100000.00,Yes
Male,Below Bachelor's,16,Oslo,"in-house, privat sektor",devops / drift,1128877.00,Yes
Male,Below Bachelor's,15,Oslo,konsulent,devops / drift,700000.00,No
Male,Below Bachelor's,15,Oslo,konsulent,devops / drift,800000.00,No
Male,No Education,15,Oslo,konsulent,devops / drift,1190000.00,Yes
Male,Below Bachelor's,14,Oslo,konsulent,devops / drift,1000000.00,No
Male,Master's Degree,13,Oslo,"in-house, privat sektor",devops / drift,1350000.00,No
Male,Below Bachelor's,12,Oslo,konsulent,devops / drift,720000.00,No
Male,Master's Degree,12,Oslo,konsulent,devops / drift,1080000.00,No
Male,Below Bachelor's,11,Oslo,"in-house, privat sektor",devops / drift,950000.00,No
Male,Below Bachelor's,11,Oslo,"in-house, privat sektor",devops / drift,975000.00,No
Male,Below Bachelor's,10,Oslo,"in-house, offentlig/kommunal sektor",devops / drift,760000.00,No
Male,Master's Degree,10,Oslo,"in-house, privat sektor",devops / drift,900000.00,Yes
Male,No Education,10,Oslo,konsulent,devops / drift,1200000.00,Yes
Male,No Education,10,Oslo,konsulent,devops / drift,1450000.00,Yes
Male,Bachelor's Degree,9,Oslo,"in-house, offentlig/kommunal sektor",devops / drift,691000.00,No
Male,Below Bachelor's,9,Oslo,"in-house, offentlig/kommunal sektor",devops / drift,1050000.00,No
Male,Master's Degree,9,Oslo,"in-house, privat sektor",devops / drift,1078000.00,No
Male,No Education,8,Oslo,"in-house, offentlig/kommunal sektor",devops / drift,950000.00,No
Male,Higher than Master's,8,Oslo,konsulent,devops / drift,1000000.00,No
Male,Below Bachelor's,8,Oslo,konsulent,devops / drift,1100000.00,Yes
Male,Below Bachelor's,8,Oslo,konsulent,devops / drift,1125000.00,Yes
Male,Bachelor's Degree,7,Oslo,konsulent,devops / drift,985000.00,No
Male,Below Bachelor's,7,Oslo,konsulent,devops / drift,1020000.00,Yes
Male,Master's Degree,7,Oslo,frilans / selvstendig næringsdrivende,devops / drift,1200000.00,Yes
Male,Master's Degree,7,Oslo,konsulent,devops / drift,1250000.00,Yes
Female,Higher than Master's,6,Oslo,"in-house, privat sektor",devops / drift,900000.00,Yes
Male,Below Bachelor's,6,Oslo,"in-house, offentlig/kommunal sektor",devops / drift,650000.00,No
Male,Below Bachelor's,6,Oslo,"in-house, privat sektor",devops / drift,950000.00,No
Male,Master's Degree,5,Oslo,"in-house, offentlig/kommunal sektor",devops / drift,740000.00,No
Male,Below Bachelor's,5,Oslo,konsulent,devops / drift,750000.00,No
Male,Below Bachelor's,5,Oslo,"in-house, privat sektor",devops / drift,770000.00,No
Male,Below Bachelor's,5,Oslo,"in-house, privat sektor",devops / drift,840000.00,Yes
Male,Master's Degree,5,Oslo,konsulent,devops / drift,850000.00,Yes
Male,Master's Degree,5,Oslo,konsulent,devops / drift,880000.00,Yes
Male,Below Bachelor's,5,Oslo,"in-house, privat sektor",devops / drift,930000.00,No
Male,Master's Degree,5,Oslo,konsulent,devops / drift,940000.00,Yes
Male,Below Bachelor's,5,Oslo,konsulent,devops / drift,950000.00,Yes
Male,Master's Degree,5,Oslo,konsulent,devops / drift,950000.00,Yes
Male,Master's Degree,5,Oslo,"in-house, privat sektor",devops / drift,960000.00,No
Male,Master's Degree,5,Oslo,konsulent,devops / drift,1000000.00,Yes
Male,Below Bachelor's,4,Oslo,"in-house, privat sektor",devops / drift,800000.00,No
Male,Below Bachelor's,4,Oslo,"in-house, privat sektor",devops / drift,850000.00,No
Male,Master's Degree,4,Oslo,konsulent,devops / drift,1000000.00,Yes
Male,Higher than Master's,4,Oslo,"in-house, privat sektor",devops / drift,1150000.00,No
Male,Below Bachelor's,3,Oslo,konsulent,devops / drift,800000.00,Yes
Male,Below Bachelor's,3,Oslo,"in-house, offentlig/kommunal sektor",devops / drift,900000.00,No
Female,Below Bachelor's,2,Oslo,konsulent,devops / drift,595000.00,No
Female,Below Bachelor's,2,Oslo,konsulent,devops / drift,700000.00,Yes
Male,Master's Degree,2,Oslo,"in-house, offentlig/kommunal sektor",devops / drift,624500.00,No
Male,Bachelor's Degree,2,Oslo,"in-house, privat sektor",devops / drift,625000.00,No
Male,Below Bachelor's,2,Oslo,konsulent,devops / drift,670000.00,Yes
Male,Master's Degree,2,Oslo,konsulent,devops / drift,675000.00,Yes
Male,Master's Degree,2,Oslo,"in-house, privat sektor",devops / drift,730000.00,No
Male,Below Bachelor's,2,Oslo,"in-house, privat sektor",devops / drift,820000.00,Yes
Male,Master's Degree,2,Oslo,"in-house, privat sektor",devops / drift,1620000.00,No
Male,No Education,1,Oslo,"in-house, privat sektor",devops / drift,500000.00,No
Male,Below Bachelor's,1,Oslo,"in-house, privat sektor",devops / drift,550000.00,No
Male,Master's Degree,1,Oslo,konsulent,devops / drift,640000.00,No
Male,Master's Degree,1,Oslo,"in-house, offentlig/kommunal sektor",devops / drift,680000.00,No
Male,Higher than Master's,1,Oslo,konsulent,devops / drift,700000.00,Yes
Male,Bachelor's Degree,1,Oslo,"in-house, privat sektor",devops / drift,730000.00,No
Male,Below Bachelor's,0,Oslo,konsulent,devops / drift,550000.00,Yes
Male,Below Bachelor's,0,Oslo,konsulent,devops / drift,570000.00,Yes
Male,Below Bachelor's,0,Oslo,konsulent,devops / drift,585000.00,Yes
Male,Master's Degree,0,Oslo,"in-house, privat sektor",devops / drift,660000.00,Yes
Male,Higher than Master's,15,Rogaland,"in-house, privat sektor",devops / drift,1230000.00,Yes
Male,Master's Degree,13,Rogaland,konsulent,devops / drift,1300000.00,Yes
Male,Below Bachelor's,6,Rogaland,konsulent,devops / drift,1000000.00,Yes
Male,No Education,4,Rogaland,"in-house, offentlig/kommunal sektor",devops / drift,1000000.00,No
Male,Below Bachelor's,17,Troms og Finnmark,"in-house, privat sektor",devops / drift,900000.00,No
Male,Below Bachelor's,9,Troms og Finnmark,"in-house, privat sektor",devops / drift,756000.00,No
Male,Master's Degree,5,Troms og Finnmark,"in-house, privat sektor",devops / drift,700000.00,No
